# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjvm.so|jdk.test.whitebox.WhiteBox.readReservedMemory|()V|WB_ReadReservedMemory|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.runMemoryUnitTests|()V|WB_RunMemoryUnitTests|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.setBooleanVMFlag|(Ljava/lang/String;Z)V|WB_SetBooleanVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.setDoubleVMFlag|(Ljava/lang/String;D)V|WB_SetDoubleVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.setIntxVMFlag|(Ljava/lang/String;J)V|WB_SetIntxVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.setStringVMFlag|(Ljava/lang/String;Ljava/lang/String;)V|WB_SetStringVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.setUint64VMFlag|(Ljava/lang/String;J)V|WB_SetUint64VMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.setUintxVMFlag|(Ljava/lang/String;J)V|WB_SetUintxVMFlag|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.stressVirtualSpaceResize|(JJJ)I|WB_StressVirtualSpaceResize|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.testSetDontInlineMethod|(Ljava/lang/reflect/Executable;Z)Z|WB_TestSetDontInlineMethod|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.testSetForceInlineMethod|(Ljava/lang/reflect/Executable;Z)Z|WB_TestSetForceInlineMethod|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.validateCgroup|(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)I|WB_ValidateCgroup|BIN_SCAN
libjvm.so|jdk.test.whitebox.WhiteBox.youngGC|()V|WB_YoungGC|BIN_SCAN
libjvm.so|sun.misc.Unsafe.addressSize|()I|Unsafe_AddressSize|BIN_SCAN
libjvm.so|sun.misc.Unsafe.allocateInstance|(Ljava/lang/Class;)Ljava/lang/Object;|Unsafe_AllocateInstance|BIN_SCAN
libjvm.so|sun.misc.Unsafe.allocateMemory|(J)J|Unsafe_AllocateMemory|BIN_SCAN
libjvm.so|sun.misc.Unsafe.arrayBaseOffset|(Ljava/lang/Class;)I|Unsafe_ArrayBaseOffset|BIN_SCAN
libjvm.so|sun.misc.Unsafe.arrayIndexScale|(Ljava/lang/Class;)I|Unsafe_ArrayIndexScale|BIN_SCAN
libjvm.so|sun.misc.Unsafe.compareAndSwapInt|(Ljava/lang/Object;JII)Z|Unsafe_CompareAndSwapInt|BIN_SCAN
libjvm.so|sun.misc.Unsafe.compareAndSwapLong|(Ljava/lang/Object;JJJ)Z|Unsafe_CompareAndSwapLong|BIN_SCAN
