# JVM native method bindings extracted from binary (RegisterNatives tables)
# Format: library|java_class.method|signature|native_symbol|confidence
#
libjvm.so|jdk.internal.misc.Unsafe.copyMemory0|(Ljava/lang/Object;JLjava/lang/Object;JJ)V|Unsafe_CopyMemory0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.copySwapMemory0|(Ljava/lang/Object;JLjava/lang/Object;JJJ)V|Unsafe_CopySwapMemory0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.defineClass0|(Ljava/lang/String;[BIILjava/lang/ClassLoader;Ljava/security/ProtectionDomain;)Ljava/lang/Class;|Unsafe_DefineClass0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.ensureClassInitialized0|(Ljava/lang/Class;)V|Unsafe_EnsureClassInitialized0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.freeMemory0|(J)V|Unsafe_FreeMemory0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.fullFence|()V|Unsafe_FullFence|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getBooleanVolatile|(Ljava/lang/Object;J)Z|Unsafe_GetBooleanVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getBoolean|(Ljava/lang/Object;J)Z|Unsafe_GetBoolean|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getByteVolatile|(Ljava/lang/Object;J)B|Unsafe_GetByteVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getByte|(Ljava/lang/Object;J)B|Unsafe_GetByte|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getCharVolatile|(Ljava/lang/Object;J)C|Unsafe_GetCharVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getChar|(Ljava/lang/Object;J)C|Unsafe_GetChar|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getDoubleVolatile|(Ljava/lang/Object;J)D|Unsafe_GetDoubleVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getDouble|(Ljava/lang/Object;J)D|Unsafe_GetDouble|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getFloatVolatile|(Ljava/lang/Object;J)F|Unsafe_GetFloatVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getFloat|(Ljava/lang/Object;J)F|Unsafe_GetFloat|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getIntVolatile|(Ljava/lang/Object;J)I|Unsafe_GetIntVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getInt|(Ljava/lang/Object;J)I|Unsafe_GetInt|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getLoadAverage0|([DI)I|Unsafe_GetLoadAverage0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getLongVolatile|(Ljava/lang/Object;J)J|Unsafe_GetLongVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getLong|(Ljava/lang/Object;J)J|Unsafe_GetLong|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getReferenceVolatile|(Ljava/lang/Object;J)Ljava/lang/Object;|Unsafe_GetReferenceVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getReference|(Ljava/lang/Object;J)Ljava/lang/Object;|Unsafe_GetReference|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getShortVolatile|(Ljava/lang/Object;J)S|Unsafe_GetShortVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getShort|(Ljava/lang/Object;J)S|Unsafe_GetShort|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.getUncompressedObject|(J)Ljava/lang/Object;|Unsafe_GetUncompressedObject|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.objectFieldOffset0|(Ljava/lang/reflect/Field;)J|Unsafe_ObjectFieldOffset0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.objectFieldOffset1|(Ljava/lang/Class;Ljava/lang/String;)J|Unsafe_ObjectFieldOffset1|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.park|(ZJ)V|Unsafe_Park|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putBooleanVolatile|(Ljava/lang/Object;JZ)V|Unsafe_PutBooleanVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putBoolean|(Ljava/lang/Object;JZ)V|Unsafe_PutBoolean|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putByteVolatile|(Ljava/lang/Object;JB)V|Unsafe_PutByteVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putByte|(Ljava/lang/Object;JB)V|Unsafe_PutByte|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putCharVolatile|(Ljava/lang/Object;JC)V|Unsafe_PutCharVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putChar|(Ljava/lang/Object;JC)V|Unsafe_PutChar|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putDoubleVolatile|(Ljava/lang/Object;JD)V|Unsafe_PutDoubleVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putDouble|(Ljava/lang/Object;JD)V|Unsafe_PutDouble|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putFloatVolatile|(Ljava/lang/Object;JF)V|Unsafe_PutFloatVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putFloat|(Ljava/lang/Object;JF)V|Unsafe_PutFloat|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putIntVolatile|(Ljava/lang/Object;JI)V|Unsafe_PutIntVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putInt|(Ljava/lang/Object;JI)V|Unsafe_PutInt|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putLongVolatile|(Ljava/lang/Object;JJ)V|Unsafe_PutLongVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putLong|(Ljava/lang/Object;JJ)V|Unsafe_PutLong|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putReferenceVolatile|(Ljava/lang/Object;JLjava/lang/Object;)V|Unsafe_PutReferenceVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putReference|(Ljava/lang/Object;JLjava/lang/Object;)V|Unsafe_PutReference|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putShortVolatile|(Ljava/lang/Object;JS)V|Unsafe_PutShortVolatile|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.putShort|(Ljava/lang/Object;JS)V|Unsafe_PutShort|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.reallocateMemory0|(JJ)J|Unsafe_ReallocateMemory0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.setMemory0|(Ljava/lang/Object;JJB)V|Unsafe_SetMemory0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.shouldBeInitialized0|(Ljava/lang/Class;)Z|Unsafe_ShouldBeInitialized0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.staticFieldBase0|(Ljava/lang/reflect/Field;)Ljava/lang/Object;|Unsafe_StaticFieldBase0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.staticFieldOffset0|(Ljava/lang/reflect/Field;)J|Unsafe_StaticFieldOffset0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.throwException|(Ljava/lang/Throwable;)V|Unsafe_ThrowException|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.unpark|(Ljava/lang/Object;)V|Unsafe_Unpark|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.writeback0|(J)V|Unsafe_WriteBack0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.writebackPostSync0|()V|Unsafe_WriteBackPostSync0|BIN_SCAN
libjvm.so|jdk.internal.misc.Unsafe.writebackPreSync0|()V|Unsafe_WriteBackPreSync0|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.attach0|(I)Ljava/nio/ByteBuffer;|Perf_Attach|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.createByteArray|(Ljava/lang/String;II[BI)Ljava/nio/ByteBuffer;|Perf_CreateByteArray|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.createLong|(Ljava/lang/String;IIJ)Ljava/nio/ByteBuffer;|Perf_CreateLong|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.detach|(Ljava/nio/ByteBuffer;)V|Perf_Detach|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.highResCounter|()J|Perf_HighResCounter|BIN_SCAN
libjvm.so|jdk.internal.perf.Perf.highResFrequency|()J|Perf_HighResFrequency|BIN_SCAN
libjvm.so|jdk.internal.vm.Continuation.isPinned0|(Ljdk/internal/vm/ContinuationScope;)I|CONT_isPinned0|BIN_SCAN
libjvm.so|jdk.internal.vm.Continuation.pin|()V|CONT_pin|BIN_SCAN
libjvm.so|jdk.internal.vm.Continuation.unpin|()V|CONT_unpin|BIN_SCAN
