declared_library	symbol	source_report
libcrypto.so.3	X509_STORE_CTX_get_error_depth	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get_ex_data	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_set_error	ffi_hits.txt
libcrypto.so.3	X509_STORE_add_lookup	ffi_hits.txt
libcrypto.so.3	X509_STORE_set_flags	ffi_hits.txt
libcrypto.so.3	X509_check_issued	ffi_hits.txt
libcrypto.so.3	X509_free	ffi_hits.txt
libcrypto.so.3	X509_get_ext	ffi_hits.txt
libcrypto.so.3	X509_get_ext_by_NID	ffi_hits.txt
libcrypto.so.3	d2i_ECPKParameters	ffi_hits.txt
libcrypto.so.3	d2i_OCSP_RESPONSE	ffi_hits.txt
libcrypto.so.3	d2i_PKCS12_bio	ffi_hits.txt
libcrypto.so.3	d2i_X509	ffi_hits.txt
libcrypto.so.3	d2i_X509_bio	ffi_hits.txt
libcrypto.so.3	i2d_OCSP_REQUEST	ffi_hits.txt
libcrypto.so.3	i2d_X509	ffi_hits.txt
libcrypto.so.3	X509_STORE_CTX_get0_current_issuer	ffi_hits.txt
