library	function	address	syscall_count
libssl.so.3	OCSP_basic_verify	1d3840	35
libssl.so.3	PEM_read_bio_ECPKParameters	1d40e0	35
libssl.so.3	PEM_read_bio_DHparams	1d6f00	35
libssl.so.3	PEM_ASN1_read_bio	1d8ed0	35
libssl.so.3	PEM_read_bio_X509_AUX	1d9050	35
libssl.so.3	PEM_read_bio_PrivateKey	1d9dc0	35
libssl.so.3	PEM_read_bio_Parameters	1d9ee0	35
libssl.so.3	PKCS12_free	1dc320	35
libssl.so.3	PKCS12_verify_mac	1dde10	35
libssl.so.3	PKCS12_parse	1ddf40	35
libssl.so.3	d2i_PKCS12_bio	1df500	35
libssl.so.3	RAND_seed	1eae50	35
libssl.so.3	RAND_load_file	1eb180	35
libssl.so.3	OPENSSL_sk_num	208030	35
libssl.so.3	OPENSSL_sk_value	208050	35
libssl.so.3	X509_LOOKUP_hash_dir	2095a0	35
libssl.so.3	X509_LOOKUP_file	2095b0	35
libssl.so.3	X509_check_issued	2282a0	35
libssl.so.3	X509_LOOKUP_ctrl	2291d0	35
libssl.so.3	X509_STORE_CTX_get0_store	229520	35
libssl.so.3	X509_STORE_add_lookup	22a2a0	35
libssl.so.3	X509_get_ext	22a550	35
libssl.so.3	X509_get_ext_by_NID	22ecc0	35
libssl.so.3	X509_STORE_CTX_get1_issuer	231bc0	35
libssl.so.3	X509_STORE_set_flags	231e60	35
libssl.so.3	X509_EXTENSION_get_data	232f20	35
libssl.so.3	X509_STORE_CTX_get_error	232f60	35
libssl.so.3	X509_STORE_CTX_set_error	232f70	35
libssl.so.3	X509_STORE_CTX_get_error_depth	232f80	35
libssl.so.3	X509_STORE_CTX_get_current_cert	232fa0	35
libssl.so.3	X509_STORE_CTX_get0_current_issuer	232fd0	35
libssl.so.3	X509_STORE_CTX_get0_untrusted	233050	35
libssl.so.3	X509_STORE_CTX_get_ex_data	2359a0	35
libssl.so.3	d2i_X509_bio	23a8d0	35
libssl.so.3	d2i_X509	23ed70	35
libssl.so.3	i2d_X509	23efc0	35
libssl.so.3	X509_free	23f3b0	35
